date_month,partner_area_name,name_city,zonas,zonas_santiago,vertical,total_confirmed_order,total_active_users,total_failed_order,total_failed_active_users,total_confirmed_orders_plus,total_plus_active_users,total_failed_orders_plus,total_failed_plus_active_users,total_GFV,total_GFV_PLUS,total_GFV_NO_PLUS,total_GMV,total_GMV_PLUS,total_GMV_NO_PLUS
2022-05-01,Peñaflor_deleted,Peñaflor,RM,Zona No Oriente,food,103,38,4,4,0,0,0,0,1247530.8,,1247530.8,1387781.8,,1387781.8
2021-07-01,San Javier de Loncomilla,Linares,Sur,Regiones,food,1,1,0,0,0,0,0,0,3600,,3600,3600,,3600
2022-05-01,Hualqui,Gran Concepción,Sur,Regiones,food,2,1,0,0,0,0,0,0,11890,,11890,14746,,14746
2024-02-01,Río Bueno,Valdivia,Sur,Regiones,food,1,1,0,0,0,0,0,0,13990,,13990,16680,,16680
2021-11-01,Coyhaique,Coyhaique,other,Regiones,food,50,44,5,5,0,0,0,0,690500,,690500,780550,,780550
2021-06-01,San Fernando,San Fernando,Sur,Regiones,food,3151,1671,242,172,0,0,0,0,37446507,,37446507,41501207,,41501207
2023-02-01,Talagante,Talagante,RM,Zona No Oriente,food,1465,891,54,51,79,33,2,33,20504395.5,974835,19529560.5,22542495.5,1046305,21496190.5
2021-08-01,Lota_deleted,Gran Concepción,Sur,Regiones,food,28,14,0,0,0,0,0,0,231670,,231670,255110,,255110
2023-05-01,Talagante,Talagante,RM,Zona No Oriente,food,1729,998,120,105,92,33,5,33,24687988.300000004,1255209.1,23432779.200000003,27557198.300000004,1338229.1,26218969.200000003
2021-02-01,Lampa,Colina,RM,Zona No Oriente,food,271,173,6,6,0,0,0,0,3875037,,3875037,4298887,,4298887
2021-12-01,Linares,Linares,Sur,Regiones,food,3655,1696,180,158,0,0,0,0,44701447.6,,44701447.6,49804001.6,,49804001.6
2023-02-01,San Pedro de la Paz_Old,Gran Concepción,Sur,Regiones,food,2,1,0,0,2,1,0,1,32581,32581,,34691,34691,
2021-07-01,Penco,Gran Concepción,Sur,Regiones,food,124,94,14,14,0,0,0,0,1260650,,1260650,1411552,,1411552
2022-01-01,Maipo,Buin,RM,Zona No Oriente,food,88,61,6,6,0,0,0,0,1269594,,1269594,1417804,,1417804
2021-12-01,Calle Larga,Los Andes,Quinta,Regiones,food,164,78,4,4,0,0,0,0,2227027,,2227027,2483097,,2483097
2022-06-01,Lampa,Colina,RM,Zona No Oriente,food,2787,1515,82,73,0,0,0,0,39735438.23999998,,39735438.23999998,44623926.89,,44623926.89
2023-07-01,San Fernando,San Fernando,Sur,Regiones,non_food,597,355,29,26,112,53,7,53,6629673.85,1119202.6,5510471.25,7232328.85,1193637.6,6038691.25
2022-01-01,Curacavis,Santiago,RM,Zona No Oriente,food,7,5,0,0,0,0,0,0,115250,,115250,124340,,124340
2022-11-01,Penco,Gran Concepción,Sur,Regiones,food,65,59,0,0,0,0,0,0,630826.5,,630826.5,695414.94,,695414.94
2021-06-01,Penco,Gran Concepción,Sur,Regiones,food,121,94,12,11,0,0,0,0,1151236,,1151236,1282836,,1282836
2021-03-01,Villarrica,Temuco,Sur,Regiones,food,44,36,2,2,0,0,0,0,259500,,259500,259500,,259500
2022-08-01,Frutillar,Frutillar,other,Regiones,food,6,5,0,0,0,0,0,0,92530,,92530,103170,,103170
2022-01-01,Yumbel,Biobío,Sur,Regiones,food,5,1,0,0,0,0,0,0,12500,,12500,12500,,12500
2022-11-01,Caleta Horcón,Caleta Horcón,other,Regiones,food,7,1,0,0,0,0,0,0,138580,,138580,151654,,151654
2022-12-01,Caleta Horcón,Caleta Horcón,other,Regiones,food,7,1,0,0,0,0,0,0,112960,,112960,125350,,125350
2021-02-01,Teno,Maule,other,Regiones,food,22,7,2,2,0,0,0,0,237890,,237890,260330,,260330
2022-12-01,San Fernando,San Fernando,Sur,Regiones,non_food,327,205,75,59,30,20,5,20,3789096,304463,3484633,4237566,322623,3914943
2022-10-01,Santo Domingo,Santo Domingo,other,Regiones,non_food,33,23,0,0,0,0,0,0,271639,,271639,312356,,312356
2024-06-01,Santo Domingo,Santo Domingo,other,Regiones,non_food,59,28,7,3,10,4,0,4,580165,119838,460327,696264.7,127823,568441.7
2021-05-01,Lampa,Colina,RM,Zona No Oriente,food,316,226,14,13,0,0,0,0,4874139,,4874139,5495275,,5495275
2024-04-01,Talcahuano_old,Gran Concepción,Sur,Regiones,food,46,29,2,2,1,1,0,1,754927,7380,747547,823167,7990,815177
2022-10-01,Linderos,Linderos,other,Regiones,food,256,136,15,10,0,0,0,0,3960437,,3960437,4460883,,4460883
2021-01-01,Labranza,Temuco,Sur,Regiones,food,154,136,32,26,0,0,0,0,923605,,923605,988555,,988555
2021-08-01,Hijuelas,Quillota,Quinta,Regiones,non_food,7,2,0,0,0,0,0,0,36400,,36400,50830,,50830
2021-12-01,Contulmo,Biobío,Sur,Regiones,food,4,1,0,0,0,0,0,0,47630,,47630,54690,,54690
2021-06-01,Maipo,Buin,RM,Zona No Oriente,food,69,50,4,4,0,0,0,0,759200,,759200,841290,,841290
2021-04-01,San Javier,Talca,Sur,Regiones,food,8,6,0,0,0,0,0,0,91070,,91070,98440,,98440
2021-04-01,San Rafael,Talca,Sur,Regiones,food,2,1,0,0,0,0,0,0,15000,,15000,18080,,18080
